Dataset	ParentIonIndex	MZ	SurveyScanNumber	FragScanNumber	OptimalPeakApexScanNumber	PeakApexOverrideParentIonIndex	CustomSICPeak	PeakScanStart	PeakScanEnd	PeakScanMaxIntensity	PeakMaxIntensity	PeakSignalToNoiseRatio	FWHMInScans	PeakArea	ParentIonIntensity	PeakBaselineNoiseLevel	PeakBaselineNoiseStDev	PeakBaselinePointsUsed	StatMomentsArea	CenterOfMassScan	PeakStDev	PeakSkew	PeakKSStat	StatMomentsDataCountUsed	InterferenceScore
0	822	919.108	45894	45897	45881	-1	0	45790	45972	45881	4.0903E+06	18.06	57	2.722E+08	2.7559E+06	226482	798198	78	2.5758E+08	45878	25.4	0.09688	0.2938	11	0
0	823	996.0656	45894	45898	45920	-1	0	45842	45998	45920	1.1544E+06	3.127	91	1.234E+08	715751	369114	524166	27	3.9581E+07	45918	18.2	-0.06389	0.3495	8	0
0	824	778.0718	45894	45899	45907	-1	0	45829	45998	45907	859894	3.81	73	7.416E+07	863422	225700	320187	27	3.5708E+07	45913	19.7	0.01742	0.3444	8	0
0	825	973.7161	45894	45900	45920	-1	0	45842	45998	45920	1.5149E+06	3.707	72	1.3729E+08	942579	408688	583156	27	5.1358E+07	45917	18.6	-0.05937	0.33	8	0
0	826	689.5853	45894	45901	45894	-1	0	45829	45998	45894	850726	22.42	18	2.4458E+07	644370	37944	44061	78	1.7885E+07	45900	23.5	0.04469	0.3104	10	0
0	827	892.4908	45894	45902	45907	-1	0	45829	45998	45907	712782	3.692	68	5.8506E+07	669416	193046	271183	53	2.9026E+07	45912	19.6	0.01639	0.3499	8	0
0	828	1285.3038	45894	45903	45920	-1	0	45842	45998	45920	1.3065E+06	3.382	78	1.295E+08	893857	386288	545121	27	4.6151E+07	45917	18.5	-0.06318	0.3345	8	0
0	829	957.5303	45894	45904	45881	-1	0	45790	45998	45881	452357	3.578	81	4.1122E+07	421866	126422	169747	27	2.0634E+07	45883	23.8	0.02313	0.3064	10	0
0	830	736.0006	45894	45905	45907	-1	0	45829	45998	45907	529000	4.543	46	3.5688E+07	522266	116447	152905	27	1.7595E+07	45906	21.2	0.005839	0.3292	9	0
0	831	969.7253	45894	45906	45920	-1	0	45842	45998	45920	822978	3.822	70	6.9911E+07	483573	215316	322923	27	2.8305E+07	45915	19.2	-0.0243	0.348	8	0
