Dataset	ScanNumber	Collision Mode	ParentIonMZ	BasePeakIntensity	BasePeakMZ	ReporterIonIntensityMax	Ion_126.128	Ion_127.125	Ion_127.131	Ion_128.128	Ion_128.134	Ion_129.131	Ion_129.138	Ion_130.135	Ion_130.141	Ion_131.138	Weighted Avg Pct Intensity Correction
0	21184		600.86	4122452.5	601.1082	3878200.25	3087236.75	3614190.25	2314469.25	3351096.75	3676492.75	3493458.25	3865315	3878200.25	3664282.25	3611880.75	3.0
0	21185		593.85	480830.97	230.1701	440250.59	336218.47	395434.94	317043.84	339790.31	383443.78	386862.59	363226.41	408561.44	388442.25	440250.59	3.3
0	21186		907.45	311491.13	130.1346	307902.66	266190.16	249870.78	209219.17	261906.81	293430.13	274374.38	307768.38	307902.66	302702.56	299745	3.0
0	21187		767.39	263858.16	230.1701	233799.53	192389.08	183940.92	163377.47	189507.78	215767.16	215602.86	193211.77	201696.84	230702.16	233799.53	3.3
0	21188		692.39	298891.78	129.1379	296196.91	288998.13	269622.47	202995.75	271151.66	280771.59	279536.72	296196.91	281392.25	273260.19	293535.53	3.2
0	21189		862.44	169178.19	230.1701	89144.43	77878.09	67063.06	75410.22	74704.41	89144.43	75056.99	71563.81	65749.84	77976.26	70774.98	3.2
0	21191		837.63	200237.58	230.1701	118244.55	77585.95	92737.34	75705.96	88869.02	101636.88	105088.7	104443.73	87705.56	98415.04	118244.55	3.2
0	21192		906.78	437227.94	905.9955	376542.75	344246.41	307779.38	239915.09	316890.69	336546.22	344469.47	375560.06	376542.75	331578.97	347261.03	3.0
0	21193		686.38	2601604.25	686.4573	1240368.75	1201696.38	1134445.75	768313.44	1064572.63	1193524.5	1173959.63	1240368.75	1186160.88	1194702.75	1238065.13	3.3
0	21194		799.1	689709.69	580.8555	374465.16	334847.84	334271	305226.22	313543.84	346234.53	342973.56	374465.16	336069.59	334219.09	347178.41	3.1
0	21195		639.92	213258.3	230.1701	197781.42	168515.05	177797.03	172721.33	166261.44	188160.28	174353.31	179713.89	172834.64	197781.42	194462.13	3.3
0	21197		442.77	620209.69	356.9107	291581.78	291581.78	246624.55	218503.11	244076.48	281774.06	266885.25	290936.72	275017.66	281045.16	267610.03	3.2
0	21198		716.73	352419.84	230.1702	300177	244824.83	300177	219908.39	230185.19	242001.23	255843.72	280943.5	242744.59	252386.89	287054.38	3.5
0	21199		725.89	1955833.5	230.17	1254400.88	1200192	1204185.38	1072866.5	1137320.25	1157920	1254400.88	1224642.13	1175986.75	1216246.25	1230581.88	3.3
0	21200		528.58	592276.38	128.1345	588891.88	585383.88	556032.63	400847.44	531179.5	588891.88	541524.44	561559.19	582221.88	580617.81	580016.88	3.4
0	21201		702.32	424186.84	616.8166	351364	285412.5	305043.38	312377.78	290101.09	322760.34	349738.47	337753.91	321512.56	340233.75	351364	3.1
0	21203		704.89	475888.63	127.1309	493202.25	186234.17	204883.94	493202.25	229597.2	201092	247176.61	227681.45	212173.02	177685.53	238001.92	3.8
